#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
風纏,風纏Lv3,3,戦闘(攻撃),翔蟲ゲージの回復速度の上昇量がさらに増加。,,,9,鉄蟲糸技の使用で風を纏い、翔蟲ゲージ回復を速める。攻撃を続けると効果が強まり、納刀で解除される。,風纏 風纏Lv3 鉄蟲糸技の使用で風を纏い、翔蟲ゲージ回復を速める。攻撃を続けると効果が強まり、納刀で解除される。 翔蟲ゲージの回復速度の上昇量がさらに増加。
粉塵纏,粉塵纏Lv1,1,戦闘(攻撃),粉塵が赤い時にふきとばされる攻撃を受けると爆発が発生。粉塵が青い時、攻撃を当てると攻撃箇所に爆発を発生させる。,,,9,攻撃を当て続けると粉塵が舞い、時間経過で色が変化して異なる効果を得る。,粉塵纏 粉塵纏Lv1 攻撃を当て続けると粉塵が舞い、時間経過で色が変化して異なる効果を得る。 粉塵が赤い時にふきとばされる攻撃を受けると爆発が発生。粉塵が青い時、攻撃を当てると攻撃箇所に爆発を発生させる。
粉塵纏,粉塵纏Lv2,2,戦闘(攻撃),粉塵を纏うために必要な攻撃回数が減少。,,,9,攻撃を当て続けると粉塵が舞い、時間経過で色が変化して異なる効果を得る。,粉塵纏 粉塵纏Lv2 攻撃を当て続けると粉塵が舞い、時間経過で色が変化して異なる効果を得る。 粉塵を纏うために必要な攻撃回数が減少。
粉塵纏,粉塵纏Lv3,3,戦闘(攻撃),粉塵を纏うために必要な攻撃回数がさらに減少。,,,9,攻撃を当て続けると粉塵が舞い、時間経過で色が変化して異なる効果を得る。,粉塵纏 粉塵纏Lv3 攻撃を当て続けると粉塵が舞い、時間経過で色が変化して異なる効果を得る。 粉塵を纏うために必要な攻撃回数がさらに減少。
冰気錬成,冰気錬成Lv1,1,戦闘(攻撃),納刀中、冰気が高まり、ゲージ最大時に攻撃力・属性値1.05倍。攻撃すると冰気を消費する。,,,12,納刀中に冰気を蓄積し、攻撃力を強化する。攻撃や射撃で冰気を消費する。,冰気錬成 冰気錬成Lv1 納刀中に冰気を蓄積し、攻撃力を強化する。攻撃や射撃で冰気を消費する。 納刀中、冰気が高まり、ゲージ最大時に攻撃力・属性値1.05倍。攻撃すると冰気を消費する。
冰気錬成,冰気錬成Lv2,2,戦闘(攻撃),冰気ゲージが延長され、ゲージ最大時に攻撃力・属性値1.20倍。,,,12,納刀中に冰気を蓄積し、攻撃力を強化する。攻撃や射撃で冰気を消費する。,冰気錬成 冰気錬成Lv2 納刀中に冰気を蓄積し、攻撃力を強化する。攻撃や射撃で冰気を消費する。 冰気ゲージが延長され、ゲージ最大時に攻撃力・属性値1.20倍。
冰気錬成,冰気錬成Lv3,3,戦闘(攻撃),冰気ゲージがさらに延長され、ゲージ最大時に攻撃力・属性値1.30倍。,,,12,納刀中に冰気を蓄積し、攻撃力を強化する。攻撃や射撃で冰気を消費する。,冰気錬成 冰気錬成Lv3 納刀中に冰気を蓄積し、攻撃力を強化する。攻撃や射撃で冰気を消費する。 冰気ゲージがさらに延長され、ゲージ最大時に攻撃力・属性値1.30倍。
龍気変換,龍気変換Lv1,1,戦闘(攻撃),疾替えの書〖朱〗使用中、属性耐性値を属性攻撃値へ変換。疾替えの書〖蒼〗使用中、攻撃を当て続けると属性耐性値が上昇。全属性耐性値+3。,,,12,朱の書では属性耐性を属性攻撃値へ変換し、蒼の書では攻撃を続けることで属性耐性を高める。,龍気変換 龍気変換Lv1 朱の書では属性耐性を属性攻撃値へ変換し、蒼の書では攻撃を続けることで属性耐性を高める。 疾替えの書〖朱〗使用中、属性耐性値を属性攻撃値へ変換。疾替えの書〖蒼〗使用中、攻撃を当て続けると属性耐性値が上昇。全属性耐性値+3。
龍気変換,龍気変換Lv2,2,戦闘(攻撃),疾替えの書〖蒼〗使用中、攻撃を当て続けた際の属性耐性値上昇量が増加。全属性耐性値+5。,,,12,朱の書では属性耐性を属性攻撃値へ変換し、蒼の書では攻撃を続けることで属性耐性を高める。,龍気変換 龍気変換Lv2 朱の書では属性耐性を属性攻撃値へ変換し、蒼の書では攻撃を続けることで属性耐性を高める。 疾替えの書〖蒼〗使用中、攻撃を当て続けた際の属性耐性値上昇量が増加。全属性耐性値+5。
龍気変換,龍気変換Lv3,3,戦闘(攻撃),疾替えの書〖朱〗使用中、属性攻撃値への変換率が上昇。全属性耐性値+10。,,,12,朱の書では属性耐性を属性攻撃値へ変換し、蒼の書では攻撃を続けることで属性耐性を高める。,龍気変換 龍気変換Lv3 朱の書では属性耐性を属性攻撃値へ変換し、蒼の書では攻撃を続けることで属性耐性を高める。 疾替えの書〖朱〗使用中、属性攻撃値への変換率が上昇。全属性耐性値+10。
緩衝,緩衝Lv1,1,戦闘(生存),同行する仲間に攻撃を当てた際、または仲間からの攻撃が当たった際、それぞれのダメージリアクションを無効化する。（特定の状態異常中は効果無効）,,,,同行する仲間との攻撃で生じるダメージリアクションを無効化する。,緩衝 緩衝Lv1 同行する仲間との攻撃で生じるダメージリアクションを無効化する。 同行する仲間に攻撃を当てた際、または仲間からの攻撃が当たった際、それぞれのダメージリアクションを無効化する。（特定の状態異常中は効果無効）
狂竜症【翔】,狂竜症【翔】Lv1,1,クエスト,狂竜症を克服すると、30秒間翔蟲ゲージが1ゲージ増える。納刀状態になると短時間で効果解除。,,,9,狂竜症を克服すると一定時間翔蟲ゲージが1ゲージ増え、納刀で短時間のうちに解除される。,狂竜症【翔】 狂竜症【翔】Lv1 狂竜症を克服すると一定時間翔蟲ゲージが1ゲージ増え、納刀で短時間のうちに解除される。 狂竜症を克服すると、30秒間翔蟲ゲージが1ゲージ増える。納刀状態になると短時間で効果解除。
狂竜症【翔】,狂竜症【翔】Lv2,2,クエスト,狂竜症を克服すると、60秒間翔蟲ゲージが1ゲージ増える。納刀状態になると短時間で効果解除。,,,9,狂竜症を克服すると一定時間翔蟲ゲージが1ゲージ増え、納刀で短時間のうちに解除される。,狂竜症【翔】 狂竜症【翔】Lv2 狂竜症を克服すると一定時間翔蟲ゲージが1ゲージ増え、納刀で短時間のうちに解除される。 狂竜症を克服すると、60秒間翔蟲ゲージが1ゲージ増える。納刀状態になると短時間で効果解除。
狂竜症【翔】,狂竜症【翔】Lv3,3,クエスト,狂竜症を克服すると、90秒間翔蟲ゲージが1ゲージ増える。納刀状態になると短時間で効果解除。,,,9,狂竜症を克服すると一定時間翔蟲ゲージが1ゲージ増え、納刀で短時間のうちに解除される。,狂竜症【翔】 狂竜症【翔】Lv3 狂竜症を克服すると一定時間翔蟲ゲージが1ゲージ増え、納刀で短時間のうちに解除される。 狂竜症を克服すると、90秒間翔蟲ゲージが1ゲージ増える。納刀状態になると短時間で効果解除。
天衣無崩,天衣無崩Lv1,1,戦闘(攻撃),大型モンスターの狩猟中、ダメージを受けない状態を続けると効果発動。スタミナ消費軽減と1度だけダメージ軽減。疾替えで斬れ味回復・弾装填。,,,,大型モンスターとの戦闘中、ダメージを受けない状態を続けると効果が発動し、条件を外すと解除される。,天衣無崩 天衣無崩Lv1 大型モンスターとの戦闘中、ダメージを受けない状態を続けると効果が発動し、条件を外すと解除される。 大型モンスターの狩猟中、ダメージを受けない状態を続けると効果発動。スタミナ消費軽減と1度だけダメージ軽減。疾替えで斬れ味回復・弾装填。
天衣無崩,天衣無崩Lv2,2,戦闘(攻撃),効果発動までの時間短縮。,,,,大型モンスターとの戦闘中、ダメージを受けない状態を続けると効果が発動し、条件を外すと解除される。,天衣無崩 天衣無崩Lv2 大型モンスターとの戦闘中、ダメージを受けない状態を続けると効果が発動し、条件を外すと解除される。 効果発動までの時間短縮。
天衣無崩,天衣無崩Lv3,3,戦闘(攻撃),さらにスタミナ消費無効・斬れ味消費無効。疾替えで状態異常を解除・軽減。,,,,大型モンスターとの戦闘中、ダメージを受けない状態を続けると効果が発動し、条件を外すと解除される。,天衣無崩 天衣無崩Lv3 大型モンスターとの戦闘中、ダメージを受けない状態を続けると効果が発動し、条件を外すと解除される。 さらにスタミナ消費無効・斬れ味消費無効。疾替えで状態異常を解除・軽減。
血氣覚醒,血氣覚醒Lv1,1,戦闘(攻撃),攻撃を当てることで回復した体力量に応じて、30秒間攻撃性能が段階的に上昇。1段階目は回復量50、2段階目は回復量150。,,,,攻撃で回復した体力量に応じて、一定時間攻撃性能を段階的に高める。,血氣覚醒 血氣覚醒Lv1 攻撃で回復した体力量に応じて、一定時間攻撃性能を段階的に高める。 攻撃を当てることで回復した体力量に応じて、30秒間攻撃性能が段階的に上昇。1段階目は回復量50、2段階目は回復量150。
血氣覚醒,血氣覚醒Lv2,2,戦闘(攻撃),1段階目：攻撃力+5（ガンナー+4）、属性+5（ガンナー+4）。2段階目：攻撃力+20（ガンナー+15）、属性+20（ガンナー+10）。,,,,攻撃で回復した体力量に応じて、一定時間攻撃性能を段階的に高める。,血氣覚醒 血氣覚醒Lv2 攻撃で回復した体力量に応じて、一定時間攻撃性能を段階的に高める。 1段階目：攻撃力+5（ガンナー+4）、属性+5（ガンナー+4）。2段階目：攻撃力+20（ガンナー+15）、属性+20（ガンナー+10）。
血氣覚醒,血氣覚醒Lv3,3,戦闘(攻撃),1段階目：攻撃力+15（ガンナー+10）、属性+15（ガンナー+8）。2段階目：攻撃力+40（ガンナー+25）、属性+30（ガンナー+15）。,,,,攻撃で回復した体力量に応じて、一定時間攻撃性能を段階的に高める。,血氣覚醒 血氣覚醒Lv3 攻撃で回復した体力量に応じて、一定時間攻撃性能を段階的に高める。 1段階目：攻撃力+15（ガンナー+10）、属性+15（ガンナー+8）。2段階目：攻撃力+40（ガンナー+25）、属性+30（ガンナー+15）。
激励,激励Lv1,1,クエスト,旋律効果など、一定範囲内の仲間に作用する効果を発動した際、20秒間、攻撃力+10の効果を追加で与える。,,,,旋律など一定範囲の仲間に作用する効果を発動すると、短時間攻撃力上昇を追加する。,激励 激励Lv1 旋律など一定範囲の仲間に作用する効果を発動すると、短時間攻撃力上昇を追加する。 旋律効果など、一定範囲内の仲間に作用する効果を発動した際、20秒間、攻撃力+10の効果を追加で与える。
